
    Data Set (sample size) & Author detected PIHM? & Likelihood Method?  & Adjei Method?

    Crofton, Station 1 (n=538) & Yes & Yes (7.27) & Yes (9.33)
    Crofton, Station 2 (n=507) & Yes & Yes (6.92) &  Yes (14.95)
    Crofton, Station 3 (n=633) & Yes & Yes (5.93) &  Yes (5.98) 
    Crofton, Station 4 (n=486) & No & No &  Yes (7.99)
    Crofton, Station 5 (n=276) & No & No & Yes (10.58)
    Crofton, Station 6 (n=191) & No & No & No
    Adjei, \emph{S. tumbil} female (n=446) & Yes (5.7) & No & Yes (6.37)
    Adjei, \emph{S. tumbil} male (n=452) & Yes (3.4) & Yes (3.42) & Yes (3.66)  
    Adjei, \emph{S. undosquamis} female (n=2573) & Yes (3.2) & Yes (3.04) & Yes (3.11) 
    Adjei, \emph{S. undosquamis} male (n=2440) & Yes (1.8) & Yes (1.83) & Yes (1.78) 


